INDIR,FOLDER,IN FILE,DURATION,DATE,TIME,HOUR,DATE-12,TIME-12,HOUR-12,LATITUDE,LONGITUDE,MODEL,SERIAL NO,FIRMWARE,PREFIX,NOTES,AUTO ID,PULSES,MATCHING,MATCH RATIO,MARGIN,FILES,MANUAL ID,ORGID,USERID,REVIEW ORGID,REVIEW USERID,INPATHMD5
D:\Dati Castelporziano\13-17 Giugno\Data Punto 1,,SMU04329_20240616_050610.wav,3.238,2024-06-16,05:06:10,5,2024-06-15,17:06:10,17,41.77489,12.40869,Song Meter Mini Bat,SMU04329,4.3,SMU04329,,,,,,,1,,,,,,UgGYcc05lAvlbTvpEu/3HA==
D:\Dati Castelporziano\13-17 Giugno\Data Punto 1,,SMU04329_20240616_050643.wav,3.235,2024-06-16,05:06:43,5,2024-06-15,17:06:43,17,41.77489,12.40869,Song Meter Mini Bat,SMU04329,4.3,SMU04329,,,,,,,1,,,,,,H0fGaAM11vkbsRMBJR8NMw==
D:\Dati Castelporziano\13-17 Giugno\Data Punto 1,,SMU04329_20240616_050713.wav,3.189,2024-06-16,05:07:13,5,2024-06-15,17:07:13,17,41.77489,12.40869,Song Meter Mini Bat,SMU04329,4.3,SMU04329,,,,,,,1,,,,,,CxkSX7JWfC24nCyLCB8uJw==
D:\Dati Castelporziano\13-17 Giugno\Data Punto 1,,SMU04329_20240616_050741.wav,3.264,2024-06-16,05:07:41,5,2024-06-15,17:07:41,17,41.77489,12.40869,Song Meter Mini Bat,SMU04329,4.3,SMU04329,,,,,,,1,,,,,,rtfLzupKazp4OND9hnArKw==
D:\Dati Castelporziano\13-17 Giugno\Data Punto 1,,SMU04329_20240616_050804.wav,3.241,2024-06-16,05:08:04,5,2024-06-15,17:08:04,17,41.77489,12.40869,Song Meter Mini Bat,SMU04329,4.3,SMU04329,,,,,,,1,,,,,,/zg8JnAT3d2A5/jHlD8tcg==
D:\Dati Castelporziano\13-17 Giugno\Data Punto 1,,SMU04329_20240616_050853.wav,3.269,2024-06-16,05:08:53,5,2024-06-15,17:08:53,17,41.77489,12.40869,Song Meter Mini Bat,SMU04329,4.3,SMU04329,,,,,,,1,,,,,,OuWi3h9SEwaO3Ev9mguo7g==
D:\Dati Castelporziano\13-17 Giugno\Data Punto 1,,SMU04329_20240616_050917.wav,3.269,2024-06-16,05:09:17,5,2024-06-15,17:09:17,17,41.77489,12.40869,Song Meter Mini Bat,SMU04329,4.3,SMU04329,,,,,,,1,,,,,,kZT0IohC2NTSII0+IBoGBw==
D:\Dati Castelporziano\13-17 Giugno\Data Punto 1,,SMU04329_20240616_051000.wav,3.239,2024-06-16,05:10:00,5,2024-06-15,17:10:00,17,41.77489,12.40869,Song Meter Mini Bat,SMU04329,4.3,SMU04329,,,,,,,1,,,,,,8++/6mQYSlYjK8Ve6UWGYQ==
D:\Dati Castelporziano\13-17 Giugno\Data Punto 1,,SMU04329_20240616_051028.wav,3.276,2024-06-16,05:10:28,5,2024-06-15,17:10:28,17,41.77489,12.40869,Song Meter Mini Bat,SMU04329,4.3,SMU04329,,,,,,,1,,,,,,JKMLVavw8kEJO1WvLKX4+g==
D:\Dati Castelporziano\13-17 Giugno\Data Punto 1,,SMU04329_20240616_051108.wav,3.19,2024-06-16,05:11:08,5,2024-06-15,17:11:08,17,41.77489,12.40869,Song Meter Mini Bat,SMU04329,4.3,SMU04329,,,,,,,1,,,,,,CuhfRXMNd6kTTjJTz8uw1w==
D:\Dati Castelporziano\13-17 Giugno\Data Punto 1,,SMU04329_20240616_051222.wav,3.264,2024-06-16,05:12:22,5,2024-06-15,17:12:22,17,41.77489,12.40869,Song Meter Mini Bat,SMU04329,4.3,SMU04329,,,,,,,1,,,,,,vWW65ZdNJZipFikCj3vc0A==
D:\Dati Castelporziano\13-17 Giugno\Data Punto 1,,SMU04329_20240616_051308.wav,3.231,2024-06-16,05:13:08,5,2024-06-15,17:13:08,17,41.77489,12.40869,Song Meter Mini Bat,SMU04329,4.3,SMU04329,,,,,,,1,,,,,,QamWWgx/58qOBCiwMrmOsw==
